geoid,region_type
01007,county
01007010001,tract
01007010005,tract
01007010006,tract
01007010007,tract
01007010008,tract
01007010009,tract
01007010010,tract
01007010011,tract
010070100011,block group
010070100012,block group
010070100051,block group
010070100052,block group
010070100053,block group
010070100061,block group
010070100062,block group
010070100071,block group
010070100072,block group
010070100081,block group
010070100082,block group
010070100091,block group
010070100092,block group
010070100093,block group
010070100101,block group
010070100102,block group
010070100111,block group
010070100112,block group
01009,county
01009050103,tract
01009050104,tract
01009050105,tract
01009050106,tract
01009050107,tract
01009050200,tract
01009050301,tract
01009050302,tract
01009050400,tract
01009050501,tract
01009050502,tract
01009050601,tract
01009050603,tract
01009050604,tract
01009050701,tract
01009050702,tract
010090501031,block group
010090501041,block group
010090501042,block group
010090501051,block group
010090501052,block group
010090501053,block group
010090501054,block group
010090501061,block group
010090501062,block group
010090501071,block group
010090501072,block group
010090502001,block group
010090502002,block group
010090503011,block group
010090503012,block group
010090503021,block group
010090503022,block group
010090504001,block group
010090504002,block group
010090504003,block group
010090504004,block group
010090505011,block group
010090505012,block group
010090505013,block group
010090505021,block group
010090505022,block group
010090505023,block group
010090506011,block group
010090506012,block group
010090506013,block group
010090506031,block group
010090506032,block group
010090506033,block group
010090506041,block group
010090506042,block group
010090506043,block group
010090506044,block group
010090507011,block group
010090507012,block group
010090507013,block group
010090507014,block group
010090507021,block group
010090507022,block group
01043,county
01043964100,tract
01043964201,tract
01043964202,tract
01043964300,tract
01043964400,tract
01043964500,tract
01043964600,tract
01043964700,tract
01043964800,tract
01043964901,tract
01043964902,tract
01043965001,tract
01043965002,tract
01043965100,tract
01043965200,tract
01043965300,tract
01043965401,tract
01043965402,tract
01043965501,tract
01043965502,tract
01043965600,tract
01043965700,tract
010439641001,block group
010439641002,block group
010439641003,block group
010439641004,block group
010439641005,block group
010439642011,block group
010439642012,block group
010439642013,block group
010439642021,block group
010439642022,block group
010439642023,block group
010439643001,block group
010439643002,block group
010439643003,block group
010439643004,block group
010439644001,block group
010439644002,block group
010439645001,block group
010439645002,block group
010439645003,block group
010439646001,block group
010439646002,block group
010439646003,block group
010439647001,block group
010439647002,block group
010439647003,block group
010439648001,block group
010439648002,block group
010439648003,block group
010439648004,block group
010439649011,block group
010439649012,block group
010439649013,block group
010439649014,block group
010439649021,block group
010439649022,block group
010439650011,block group
010439650012,block group
010439650021,block group
010439650022,block group
010439650023,block group
010439650024,block group
010439651001,block group
010439651002,block group
010439652001,block group
010439652002,block group
010439653001,block group
010439653002,block group
010439653003,block group
010439654011,block group
010439654012,block group
010439654013,block group
010439654021,block group
010439654022,block group
010439654023,block group
010439654024,block group
010439655011,block group
010439655021,block group
010439655022,block group
010439655023,block group
010439655024,block group
010439656001,block group
010439656002,block group
010439656003,block group
010439657001,block group
010439657002,block group
01073,county
01073000100,tract
01073000300,tract
01073000400,tract
01073000500,tract
01073000700,tract
01073000800,tract
01073001100,tract
01073001200,tract
01073001400,tract
01073001500,tract
01073001600,tract
01073001902,tract
01073002000,tract
01073002100,tract
01073002200,tract
01073002303,tract
01073002305,tract
01073002306,tract
01073002401,tract
01073002402,tract
01073002701,tract
01073002702,tract
01073002900,tract
01073003001,tract
01073003002,tract
01073003100,tract
01073003200,tract
01073003300,tract
01073003400,tract
01073003500,tract
01073003600,tract
01073003700,tract
01073003802,tract
01073003803,tract
01073003900,tract
01073004000,tract
01073004200,tract
01073004501,tract
01073004502,tract
01073004701,tract
